sale_week,facilities,drug_name,total_units_sold
2020-06-01T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-06-08T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,84
2020-06-15T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-06-22T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-06-29T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-07-06T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,84
2020-07-13T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,28
2020-07-20T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-07-27T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,28
2020-08-03T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,56
2020-08-10T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-08-17T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-08-24T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,28
2020-08-31T00:00:00Z,3A HEALTH,ATORVASTATIN 10MG x28,0
2020-08-03T00:00:00Z,3A HEALTH,AUGMENTIN 1G x14,10
2020-08-10T00:00:00Z,3A HEALTH,AUGMENTIN 1G x14,0
2020-08-17T00:00:00Z,3A HEALTH,AUGMENTIN 1G x14,0
2020-08-24T00:00:00Z,3A HEALTH,AUGMENTIN 1G x14,0
2020-08-31T00:00:00Z,3A HEALTH,AUGMENTIN 1G x14,0
2020-06-01T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-06-08T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-06-15T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,28
2020-06-22T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,28
2020-06-29T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-07-06T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-07-13T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-07-20T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-07-27T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-08-03T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-08-10T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-08-17T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-08-24T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
2020-08-31T00:00:00Z,UNIHAM PHARMACY,ATENOLOL 50MG x28,0
